1,வெற்றித் திருநகர்,அகிலன்,தாகம் பதிப்பகம்,2003
2,சித்திரை பாவை,அகிலன்,,
3,ரோமாபுரி ராணிகள்,அறிஞர் அண்ணா,பூம்புகார் பதிப்பகம் ,2002
4,காஞ்சி தாரகை ,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம் ,2015
5,காவிரி மைந்தன் - 1,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம் ,2015
6,காவிரி மைந்தன் - 2,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம்,2015
7,காவிரி மைந்தன் - 3,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம்,2015
8,தில்லையில் ஒரு கொள்ளைக்காரன்,அனுஷா வெங்கடேஷ்,அவென்யூ பிரஸ்,2007
9,பாபர் நாமா,ஆர்.பி.சாரதி,மதி நிலையம்,2011
10,ஆதித்தன் காதலி - 1,ஆர்.வி,வானதி பதிப்பகம் ,1996
11,ஆதித்தன் காதலி - 2,ஆர்.வி,வானதி பதிப்பகம் ,1996
12,டணாய்க்கன் கோட்டை,இ.பாலகிருஷ்ணன்,அம்ருதா பதிப்பகம்,2007
13,பாண்டிய நாயகி,இந்திரா சௌந்தர்ராஜன்,திருமகள் நிலையம்,1999
14,யாதவராணி ,இந்திரா சுப்பிரமணி,விசாலாட்சி நிலையம்,2001
15,வஞ்சியின் செல்வன்,இரா.மலர்விழி,வானதி பதிப்பகம் ,2013
16,மிளிர் கல் ,இரா.முருகவேள்,பொன்னுலகம் பதிப்பகம்,2014
17,வால்மீகி இராமாயணம்,குருவிக்கரம்பை வேலு,சாளரம் பதிப்பகம்,2005
18,சிங்களத்துப் புயல் ,உதயணன்,சீதை பதிப்பகம்,2012
19,சோழ குலாந்தகன்,உதயணன்,சீதை பதிப்பகம்,2011
20,பாண்டியமுரசு,உதயணன்,சீதை பதிப்பகம்,2012
21,மானவர்மன்,உதயணன்,சீதை பதிப்பகம்,2011
22,வேள்வித் தூண்,உதயணன்,சீதை பதிப்பகம்,2011
23,கடல் கோட்டை,உதயணன்,,
24,பரிமேலழகன்,உதயணன்,திருவரசு புத்தகநிலையம்,2012
25,மலர்ச்சோலை மங்கை ,எல்.கைலாசம் ,வானதி பதிப்பகம்,2011
26,மணிமகுடம் ,எல்.கைலாசம் ,வானதி பதிப்பகம்,2011
27,சேதுபதி மன்னரும் ராஜநர்த்தகியும்,எஸ்.எஸ்.கமால்,சீதை பதிப்பகம்,2010
28,சேதுபதியின் காதலி,எஸ்.எஸ்.கமால்,சீதை பதிப்பகம்,2010
29,விடுதலைப்போரில் சேதுபதிமன்னர்,எஸ்.எஸ்.கமால்,சீதை பதிப்பகம்,2011
30,துங்கபத்திரை,எஸ்.எஸ்.தென்னரசு,சீதை பதிப்பகம்,2012
31,மறைக்கப்பட்ட இந்தியா,எஸ்.ராமகிருஷ்ணன்,விகடன் பிரசுரம்,2013
32,நெய்தல் பூத்த குறிஞ்சி,அய்க்கண்,குமரன் பதிப்பகம்,1995
33,"தமிழக வரலாற்று வரிசை- 4 
சேர மன்னன் வரலாறு ",ஓவை.சு.துரைசாமிப்பிள்ளை,அமிர்தம் பதிப்பகம்,2008
34,சேரமான் காதலி ,கண்ணதாசன்,,
35,காந்தர்வா - 1,கண்ணன் மகேஷ்,அருந்ததி நிலையம்,2000
36,காந்தர்வா - 2,கண்ணன் மகேஷ்,அருந்ததி நிலையம்,2000
37,கங்கைகொண்ட சோழன்,பாலகுமாரன்,விசா பப்ளிகேசன்,2012
38,பொக்கிஷ வேட்டை,கமலப்ரியா ,திருவரசு புத்தகநிலையம்,2004
39,மதுரவல்லி,கமலப்ரியா ,திருவரசு புத்தகநிலையம்,2006
40,பொன்னியின் செல்வன் - 1 ,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
41,பொன்னியின் செல்வன் - 2,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
42,பொன்னியின் செல்வன் - 3,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
43,பொன்னியின் செல்வன் - 4,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
44,பொன்னியின் செல்வன் - 5,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
45,பொன்னியின் செல்வன் - 6,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
46,பொன்னியின் செல்வன் - 7,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
47,பொன்னியின் செல்வன் - 8,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
48,பொன்னியின் செல்வன் - 9,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2005
49,பொன்னியின் செல்வன் - 10,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,2004
50,பொன்னியின் செல்வன் - 11,கல்கி,சாருப்ரபா பப்ளிகேசன்ஸ்,
51,மோகினித் தீவு,கல்கி,வானதி பதிப்பகம்,2001
52,மோகினித் தீவு,கல்கி,சாரதா பதிப்பகம்,2008
53,பொன்னியின் செல்வன் - 1,கல்கி,,
54,பொன்னியின் செல்வன் - 2,கல்கி,,
55,பொன்னியின் செல்வன் - 3,கல்கி,சாரதா பதிப்பகம்,2011
56,பொன்னியின் செல்வன் - 4,கல்கி,சாரதா பதிப்பகம்,2011
57,பொன்னியின் செல்வன் - 5,கல்கி,சாரதா பதிப்பகம்,2011
58,பொன்னியின் செல்வன் - 1,கல்கி,திருமகள் நிலையம்,2011
59,பொன்னியின் செல்வன் - 2,கல்கி,திருமகள் நிலையம்,2011
60,பொன்னியின் செல்வன் - 3,கல்கி,திருமகள் நிலையம்,2011
61,பொன்னியின் செல்வன் - 4,கல்கி,திருமகள் நிலையம்,2011
62,பொன்னியின் செல்வன் - 5,கல்கி,திருமகள் நிலையம்,2011
63,சோலைமலை இளவரசி,கல்கி ,சாரதா பதிப்பகம்,2000
64,ரவி குல திலகன்,கல்கி ராஜேந்திரன்,வானதி பதிப்பகம்,2007
65,நீள் துயில் ,கல்யாணிமணியன்,,
66,மதுரவல்லி ,கலாப்ரியா,திருவரசு புத்தகநிலையம்,2006
67,பொக்கிஷ வேட்டை,கலாப்ரியா ,திருவரசு புத்தகநிலையம்,2004
68,தென்பாண்டிச் சிங்கம்,கலைஞர் மு.கருணாநிதி,திருவரசு புத்தகநிலையம்,1996
69,பாயும்புலி பாண்டாரக வன்னியன் ,கலைஞர் மு.கருணாநிதி,ராக்ஃபோர்ட் பதிப்பகம்,1991
70,ரோமாபுரி பாண்டியன்,கலைஞர் மு.கருணாநிதி,பாரதி பதிப்பகம்,2007
71,தென்னாட்டு போர்க்களங்கள் ,கா.அப்பாதுரை ,,
72,பாண்டியர் வரலாறு (மீண்டெழும்),கு.செந்தில்மள்ளர்,தமிழ் பண்பாடு ஆய்வு நிலையம்,2012
73,பாண்டியகுமாரன்,குரும்பூர்.குப்புசாமி,மூவர் நிலையம்,2001
74,விலாசினி,கைலாசம்,வானதி பதிப்பகம்,2014
75,வேலுநாச்சியார்,கே.ஜீவபாரதி,குமரன் பதிப்பகம்,2007
76,தமிழக வரலாறு வரிசை- 10  தாய்நில வரலாறு ,கோ.தங்கவேலு,அமிழ்தம் பதிப்பகம்,2008
